x1,x2
-2.3587,-0.99867
-2.3587,-0.99867
-2.4587,-0.99867
-2.2587,-0.99867
-2.3587,-0.99867
-2.0587,-0.79867
-2.3587,-0.89867
-2.2587,-0.99867
-2.3587,-0.99867
-2.2587,-1.0987
-2.2587,-0.99867
-2.1587,-0.99867
-2.3587,-1.0987
-2.6587,-1.0987
-2.5587,-0.99867
-2.2587,-0.79867
-2.4587,-0.79867
-2.3587,-0.89867
-2.0587,-0.89867
-2.2587,-0.89867
-2.0587,-0.99867
-2.2587,-0.79867
-2.7587,-0.99867
-2.0587,-0.69867
-1.8587,-0.99867
-2.1587,-0.99867
-2.1587,-0.79867
-2.2587,-0.99867
-2.3587,-0.99867
-2.1587,-0.99867
-2.1587,-0.99867
-2.2587,-0.79867
-2.2587,-1.0987
-2.3587,-0.99867
-2.2587,-1.0987
-2.5587,-0.99867
-2.4587,-0.99867
-2.2587,-1.0987
-2.4587,-0.99867
-2.2587,-0.99867
-2.4587,-0.89867
-2.4587,-0.89867
-2.4587,-0.99867
-2.1587,-0.59867
-1.8587,-0.79867
-2.3587,-0.89867
-2.1587,-0.99867
-2.3587,-0.99867
-2.2587,-0.99867
-2.3587,-0.99867
0.94133,0.20133
0.74133,0.30133
1.1413,0.30133
0.24133,0.10133
0.84133,0.30133
0.74133,0.10133
0.94133,0.40133
-0.45867,-0.19867
0.84133,0.10133
0.14133,0.20133
-0.25867,-0.19867
0.44133,0.30133
0.24133,-0.19867
0.94133,0.20133
-0.15867,0.10133
0.64133,0.20133
0.74133,0.30133
0.34133,-0.19867
0.74133,0.30133
0.14133,-0.098667
1.0413,0.60133
0.24133,0.10133
1.1413,0.30133
0.94133,0.0013333
0.54133,0.10133
0.64133,0.20133
1.0413,0.20133
1.2413,0.50133
0.74133,0.30133
-0.25867,-0.19867
0.041333,-0.098667
-0.058667,-0.19867
0.14133,0.0013333
1.3413,0.40133
0.74133,0.30133
0.74133,0.40133
0.94133,0.30133
0.64133,0.10133
0.34133,0.10133
0.24133,0.10133
0.64133,0.0013333
0.84133,0.20133
0.24133,0.0013333
-0.45867,-0.19867
0.44133,0.10133
0.44133,0.0013333
0.44133,0.10133
0.54133,0.10133
-0.75867,-0.098667
0.34133,0.10133
2.2413,1.3013
1.3413,0.70133
2.1413,0.90133
1.8413,0.60133
2.0413,1.0013
2.8413,0.90133
0.74133,0.50133
2.5413,0.60133
2.0413,0.60133
2.3413,1.3013
1.3413,0.80133
1.5413,0.70133
1.7413,0.90133
1.2413,0.80133
1.3413,1.2013
1.5413,1.1013
1.7413,0.60133
2.9413,1.0013
3.1413,1.1013
1.2413,0.30133
1.9413,1.1013
1.1413,0.80133
2.9413,0.80133
1.1413,0.60133
1.9413,0.90133
2.2413,0.60133
1.0413,0.60133
1.1413,0.60133
1.8413,0.90133
2.0413,0.40133
2.3413,0.70133
2.6413,0.80133
1.8413,1.0013
1.3413,0.30133
1.8413,0.20133
2.3413,1.1013
1.8413,1.2013
1.7413,0.60133
1.0413,0.60133
1.6413,0.90133
1.8413,1.2013
1.3413,1.1013
1.3413,0.70133
2.1413,1.1013
1.9413,1.3013
1.4413,1.1013
1.2413,0.70133
1.4413,0.80133
1.6413,1.1013
1.3413,0.60133
